chapter,black,blue,cyan,cyan-blue,green,lightness,magenta,orange,pink,purple,red,saturation,teal,white,yellow,yellow-green
0,0.017415612624660275,0.005887161543966073,0.05114826082036448,0.02543247179011066,0.00023430803825250806,0.7478930481132254,0.01554555364015847,0.03878802997050362,0.0779830015162566,0.0061567121543646686,0.06795951839923832,0.33388093253339074,0.0003130531603914238,0.3565645210272879,0.022940711806344268,0.0006211503340748041
1,0.14714959532418787,0.0037046541320301207,0.007990963495022589,0.010605797042747632,0.005437018717123285,0.5467570609332376,0.0019220995322353058,0.16058375632861258,0.010428361586693871,0.0022054927790656795,0.06629564026734759,0.45096526803111847,0.005473847442551726,0.1267948061977636,0.07936304108798539,0.00901712682760851
2,0.1264521392244897,0.013765185994877359,0.036595229699253023,0.03813356535991022,0.005678075258619784,0.6002855099551561,0.006177596571114807,0.10927584309146325,0.012800041503314884,0.00565894002431077,0.03912886779639824,0.37378029595866424,0.03018226183763205,0.1743546228896731,0.043442159919770164,0.008758851886254079
3,0.1062581272426004,0.0480117669304024,0.012442647375919245,0.05679805105207429,0.006014088695993285,0.5737701520052163,0.006920912512174008,0.10725092035280519,0.01062720384712204,0.009786743661126102,0.03223407837487084,0.31483848053537455,0.006519798972478846,0.13459526399977206,0.0681535206999403,0.014813571903907252
4,0.11814688502318467,0.031131041501729684,0.04204778931036793,0.0712108983185437,0.02314730578884616,0.5654799336435596,0.007471892364882148,0.054470453530161736,0.009240515120516797,0.01272746657293646,0.01851001958564525,0.3354896080598262,0.033124830250297624,0.1410580692267826,0.04804842191676205,0.01926688861432683
5,0.09949236414269409,0.010418466945602296,0.0326701415108976,0.06831161913724625,0.01473726126483753,0.5600854733675301,0.0024251036908322894,0.10101753757187125,0.010854754973850736,0.0032425818633486313,0.04864148512695323,0.510416907011517,0.015989677550494227,0.08906083959561845,0.07103993016597851,0.02637483832893117
6,0.23206687066105786,0.00996641548661465,0.051798880073188114,0.03663478603195392,0.00528171370044701,0.4747659262842912,0.0031558956467253826,0.0833593863210058,0.006502500608477776,0.0042142470652264145,0.03615534671685627,0.32929023782983213,0.01668777636478639,0.1573442497061165,0.04375690500401184,0.007780586797119262
7,0.14335974658144246,0.016058377293857874,0.03922682369267084,0.07002895312205659,0.0066080808943468,0.540366838695945,0.0031260376881125217,0.1107855544264116,0.007071919181315284,0.004097231398430111,0.03352177871305957,0.37547731843017274,0.014044026114457356,0.12668518117325742,0.05378066783660655,0.006628085761324976
8,0.13624803992186477,0.02165105740849987,0.009908868048079921,0.025910480954404843,0.007275742621746862,0.5235389058630932,0.0087132750172511,0.11402496964861897,0.01825544311434293,0.012354123600774494,0.05632154977549978,0.4290573815711035,0.006965856728864821,0.1377637271146347,0.07145501856225116,0.010157731001415524
9,0.11642512137149706,0.006641946890763065,0.023693072085519046,0.0172926952006128,0.00693131950512172,0.6141276398620622,0.004542317069506144,0.11254468208394247,0.008759256984863562,0.003228186360587016,0.024298243892521637,0.46593399030234334,0.01122120299946148,0.15771410604046512,0.12880856375744576,0.014968899463674195
10,0.20716872111814919,0.024669133740346485,0.014532132470104294,0.057785295538921734,0.006980859901166458,0.4858499921985697,0.003301622207353125,0.07210823064878269,0.004323714463385479,0.0048826098349329305,0.018193235463920824,0.4096489987061575,0.005965266142732357,0.1370128999468094,0.09521778291857937,0.019949306137294984
