,black,blue,chapter,cyan,cyan-blue,green,lightness,magenta,orange,pink,purple,red,saturation,teal,white,yellow,yellow-green
0,0.025350603255624563,0.008569500242071749,0,0.07445269340891529,0.03702014485829985,0.00034106466682270407,0.7478930481132254,0.022628498417716445,0.05646083086719399,0.11351401611460414,0.008961864882282592,0.0989235822771417,0.33388093253339074,0.0004556880448618267,0.5190242745061576,0.0333930764273416,0.0009041620309659464
1,0.2578161803440488,0.0078098225260519166,1,0.00038106540882788077,0.0015755278502703586,6.256900250881517e-05,0.5500236683696462,0.00570871505470751,0.3794204495683748,0.0019360060389179195,0.007222481244436909,0.08892710307536739,0.45300562115740484,0.00016389041947470294,0.14309167569880493,0.10549900797855699,0.000385505789651087
2,0.33384816769573766,0.0055249059092385274,1,0.00036739727719566697,0.021475606135773616,1.9525451824932408e-05,0.4459333138407018,0.00019764538990135663,0.27626163308488194,0.014794315304168684,0.0004415142984086757,0.13628446590915883,0.37851983910998327,5.618548382276469e-05,0.19649139585064224,0.014177071939335617,6.0170269909485585e-05
3,0.17104936069950175,0.037145118270892404,1,0.0009599214769820997,0.012231192964632218,0.005674264777406699,0.5893639150122821,0.001956270332782119,0.12259214025261386,0.0006428831910063604,0.012078278033770182,0.038929259231238196,0.4896070813616683,0.00323002768881091,0.14054763560291916,0.4231468371628116,0.02981681031463248
4,0.32480901746707125,0.019267473172954106,1,0.01503046771398586,0.005131104729207514,0.026937689660502615,0.4611063723014748,0.004472937022543668,0.06899655865340026,0.003444194049643255,0.010198752003384397,0.010752377620670859,0.4773291081158837,0.02886500646777907,0.01841527209417737,0.42233865128501347,0.04134049805966628
5,0.17539359399114052,0.004082105629091982,1,0.03739694962377775,0.11651362653453745,0.011842765799774644,0.6020163618208185,0.00015923250741768226,0.10060982403795,0.001778298918718085,0.0008962399654145373,0.00830399552042086,0.4126884060498614,0.008786555103969104,0.27181758842570103,0.23119182493013826,0.031227399011948112
6,0.2212365255985317,0.004562261339869322,1,0.05028370520354752,0.1360496063047248,0.006659114371967398,0.5280484364418335,0.0022595115057191953,0.1088601100065434,0.0112394946304173,0.002348047130601577,0.015515147621830167,0.421867810228477,0.009326713339353756,0.15527213174430418,0.25248177710353437,0.023905854099055303
7,0.26983462339178865,0.024448829168994615,1,0.0022814903897847008,0.037069857101529366,0.000106710292106238,0.5062224607191913,0.03739120520551469,0.1790635218372672,0.0735542276954188,0.026727479360890555,0.10256522615887174,0.36697609757187405,0.0005404490839753195,0.14220059343906172,0.10376662986581688,0.0004491570089794885
8,0.20712052741162112,0.015579702943589947,1,0.0331558988416528,0.008800875179438962,0.01483862357995281,0.5735385422299638,0.0005958651259895762,0.3702346507942367,0.0010457047616073026,0.002181864201972723,0.00837050560920415,0.4916084739447793,0.005894562294677006,0.20919855126488496,0.10357831407892597,0.019404353912245983
9,0.16803035822707954,0.0001691965189232949,1,0.04076583687512649,0.001685893543817041,0.012781218376846792,0.6583177290390726,5.140659785468529e-05,0.3238413276664643,0.000301558388990083,7.48836267961951e-05,0.005625177089657964,0.46007098021080556,0.011029346286176887,0.2310139647844566,0.18445699251163733,0.02017283950617284
